"term","regression_estimate","std_error","statistic","p_value","indicator"
"skylight_treatment:pre_post_treatment",-0.0857724024189117,0.331388871615304,-0.258827045099093,0.795888908106941,1
"skylight_treatment:pre_post_treatment",0.0382842065468622,0.378385517635434,0.101177779704952,0.919482268265115,2
"skylight_treatment:pre_post_treatment",-0.0134835990470958,0.199230025816036,-0.0676785489128342,0.946072060375356,3
"skylight_treatment:pre_post_treatment",0.0189481400036648,0.16063125951,0.117960477066951,0.906152438800001,4
"skylight_treatment:pre_post_treatment",-0.024511636430275,0.167588821981791,-0.146260568816089,0.883782223898475,5
"skylight_treatment:pre_post_treatment",0.25056497175142,0.492596235988876,0.508661969875626,0.611349829971808,6
"skylight_treatment:pre_post_treatment",-0.145016362040051,0.415644567501264,-0.348895121887067,0.727398218627481,7
"skylight_treatment:pre_post_treatment",0.363496426608036,0.419089757493879,0.867347435980574,0.38622123992064,8
"skylight_treatment:pre_post_treatment",-0.167669069629853,0.322839337987643,-0.519357618173134,0.603863799245678,9
"skylight_treatment:pre_post_treatment",0.115294117647059,0.300273768378295,0.38396333542465,0.701189843684465,10
"skylight_treatment:pre_post_treatment",0.892373098772218,0.419414965694055,2.12766155660541,0.0339167892392409,11
"skylight_treatment:pre_post_treatment",-0.056536558548651,0.293895416161423,-0.192369650697778,0.847540815651713,12
"skylight_treatment:pre_post_treatment",0.205371627711342,0.487882176562164,0.420945133020604,0.674055741782184,13
"skylight_treatment:pre_post_treatment",-0.0342862378596272,0.27026636536144,-0.126860912987728,0.899108043297746,14
"skylight_treatment:pre_post_treatment",-0.138387392340117,0.181153995011188,-0.763921283279291,0.445320824068268,15
"skylight_treatment:pre_post_treatment",0.0541982774418162,0.230532259387747,0.235100621430411,0.814239270051754,16
"skylight_treatment:pre_post_treatment",-0.00360571402324166,0.324890635001541,-0.0110982393297503,0.991151249917939,17
"skylight_treatment:pre_post_treatment",0.0682756093091413,0.216319325128686,0.315624178600432,0.752436419257036,18
"skylight_treatment:pre_post_treatment",0.687533006972268,0.300850395309241,2.28529866568917,0.022775728138021,19
"skylight_treatment:pre_post_treatment",0.202028350837875,0.19952883518014,1.01252708990898,0.311935487429688,20
"skylight_treatment:pre_post_treatment",0.026727091417121,0.191724352173645,0.139403738305055,0.889206155249601,21
"skylight_treatment:pre_post_treatment",-0.328317006360566,0.422437663771721,-0.777196340471156,0.437502325774224,22
"skylight_treatment:pre_post_treatment",-0.446439174860238,0.498980271117792,-0.894703058820635,0.371599914918237,23
"skylight_treatment:pre_post_treatment",-0.168102868958388,0.338057726027555,-0.497260840430211,0.619255212149573,24
"skylight_treatment:pre_post_treatment",-0.00459808736107566,0.207057514651612,-0.0222068122898715,0.982293119525282,25
"skylight_treatment:pre_post_treatment",0.189367784496978,0.236898564026609,0.799362314731919,0.424508740795101,26
"skylight_treatment:pre_post_treatment",0.0318966747538146,0.233528792772272,0.13658561916568,0.891427233263264,27
"skylight_treatment:pre_post_treatment",0.0160588615626143,0.300601653944654,0.0534223992179732,0.95741949527818,28
"skylight_treatment:pre_post_treatment",-0.227938427707532,0.237755069348463,-0.958711115317827,0.33822722759983,29
"skylight_treatment:pre_post_treatment",0.0892798240791647,0.157802435043652,0.565769622341175,0.571836851327372,30
"skylight_treatment:pre_post_treatment",-0.0662708447865135,0.114943411980121,-0.576551919286813,0.564535011675541,31
"skylight_treatment:pre_post_treatment",0.316855415063223,0.198392305143662,1.59711544675978,0.110953006995608,32
"skylight_treatment:pre_post_treatment",-0.15372549019608,0.255631764890734,-0.60135519645529,0.547911022862647,33
"skylight_treatment:pre_post_treatment",0.065090709180871,0.432333686078174,0.150556644732748,0.880393991236839,34
"skylight_treatment:pre_post_treatment",0.0362103719992664,0.225026130535597,0.160916298534219,0.872232680424404,35
"skylight_treatment:pre_post_treatment",-0.374263816054858,0.492655247067749,-0.759687059627297,0.44797433675968,36
"skylight_treatment:pre_post_treatment",-0.375425511570089,0.322595289114701,-1.16376625523693,0.24528947163637,37
"skylight_treatment:pre_post_treatment",-0.185423588039864,0.305607299467369,-0.606738086305633,0.544404020467924,38
"skylight_treatment:pre_post_treatment",-0.00764522631482584,0.153422982153085,-0.0498310370945435,0.960279492405852,39
"skylight_treatment:pre_post_treatment",-0.00483782297965997,0.079409213178017,-0.060922691285389,0.951448252817658,40
